company,2011_competitor,2011_forb
Qualcomm,2,3
Xerox,3,3
LG Electronics,2,3
IoT Holdings,2,4
Ericsson,2,3
Fujifilm Holdings,1,3
ZTE,2,3
Cisco Systems,2,3
Apple,2,3
IBM,1,3
Electronics and Telecommunications Research Institute ETRI,4,4
US Department of Navy,3,4
WSOU Investments LLC,4,4
Longitude Semiconductor SARL,3,4
