company,cpc,country
Huawei Technologies,1.6675825998118705,1.5398015731096795
Apple,0.5818796696159113,0.37358966324101156
Shanghai_Langbo,0.512791415297683,0.3434047240976601
Intel,0.31513818721417997,0.2407671402526605
China_Unicom,0.6503559823753321,0.4837649081542613
China_Mobile,0.5441759787819282,0.5876648146967587
SGCC,0.49879966515348617,0.6202860754304411
LG Electronics,0.8892966159796254,0.6658365768198807
Beijing_Sankuai,0.6896485763768535,0.8105367790214637
Tencent Technology Shenzhen,0.8333483354049545,0.8369678723258249
China_Mobile_IoT,0.9121568241128724,1.0245759997520762
Ericsson,1.1813753892339198,0.9216620312044351
Alipay Hangzhou Information Technology,1.14042921965643,1.140826980606894
Xiaomi,1.3110924367575585,1.1835941905480445
