id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
DE-102016216407-A1,Individuelle Kommunikationsunterst?tzung ,BSH Hausger?te GmbH,"Marcel Nero, Arne Rost, Cristina Rico Garcia, Timo St?hler",2016/8/31,2016/8/31,2018/3/1,,https://patents.google.com/patent/DE102016216407A1/de,https://patentimages.storage.googleapis.com/7f/89/7a/e50823b599083d/DE102016216407A1_0002.png
DE-102017115329-A1,Ber?hrungslose Mehrprotokoll-Kommunikation ,"Keyssa Systems, Inc.","Edward T. Pak, Roger D. Isaac",2016/7/14,2017/7/10,2018/2/1,,https://patents.google.com/patent/DE102017115329A1/de,https://patentimages.storage.googleapis.com/b7/8a/ae/ef696d2d061cc0/DE102017115329A1_0002.png
DE-112018001691-T5,Funkkommunikationsvorrichtung und steuerverfahren davon ,Kyocera Corporation,Mitsutaka Hata,2017/3/28,2018/3/27,2019/12/19,,https://patents.google.com/patent/DE112018001691T5/de,https://patentimages.storage.googleapis.com/fa/ec/04/a5c84fc9a8ad77/DE112018001691T5_0001.png
DE-102017112921-A1,Niedrig-Komplexit?ts-Sequenzsch?tzer f?r General Packet Radio Service (GPRS)-System ,"Samsung Electronics Co., Ltd.","Kee Bong Song, Charles Pandana",2016/10/25,2017/6/13,2018/4/26,,https://patents.google.com/patent/DE102017112921A1/de,https://patentimages.storage.googleapis.com/ad/2a/7d/0996a3a7daa765/DE102017112921A1_0050.png
DE-112018000995-T5,Funkkommunikationsvorrichtung und steuerverfahren davon ,Kyocera Corporation,Shinichi Kamibeppu,2017/2/24,2018/2/22,2019/11/7,,https://patents.google.com/patent/DE112018000995T5/de,https://patentimages.storage.googleapis.com/95/02/99/73b6f442d75b3a/DE112018000995T5_0001.png
DE-102017008250-A1,Multiband mimo plattenantennen ,Taoglas Group Holdings Limited,Christopher M. Anderson,2016/9/2,2017/9/1,2018/3/8,,https://patents.google.com/patent/DE102017008250A1/de,https://patentimages.storage.googleapis.com/5e/97/d2/333a91078d9872/DE102017008250A1_0002.png
DE-102017221852-A1,System und Verfahren zum ?berwachen einer Arbeitssituation ,Fraunhofer-Gesellschaft zur F?rderung der angewandten Forschung e.V.,"Sascha Feldhorst, Ren? Grzeszick",2017/12/4,2017/12/4,2019/6/6,,https://patents.google.com/patent/DE102017221852A1/de,https://patentimages.storage.googleapis.com/85/b7/23/d59440aa9bba91/DE102017221852A1_0001.png
DE-102017122221-A1,Dynamische Kennzeichnung eines Fahrzeugs und Pr?fung ,Bundesdruckerei Gmbh,Stephan von Orlow,2017/9/26,2017/9/26,2019/3/28,,https://patents.google.com/patent/DE102017122221A1/de,https://patentimages.storage.googleapis.com/b1/e3/dc/7f14616610160e/DE102017122221A1_0001.png
DE-112018004584-T5,Dichtekoordinaten-hashing f?r volumetrische daten ,Movidius Ltd.,"Ananya Gupta, Alessandro Palla, Gary Garfield Barrington Baugh, Jonathan David Byrne, David Macdara Moloney, Leonie Buckley, Sam Caulfield",2017/10/16,2018/10/16,2020/6/4,,https://patents.google.com/patent/DE112018004584T5/de,https://patentimages.storage.googleapis.com/4c/55/79/c7b032ff1c27a8/DE112018004584T5_0003.png
DE-102017007180-A1,"Individuell und Interaktive in Echtzeit arbeitende Verkehrstelekommunikation, Erfassung, Verarbeitung, Planung und Abwicklung, Abrechnung Vermittlungszentrale ",P?l Zolt?n,Anmelder Gleich,2017/8/1,2017/8/1,2019/2/7,,https://patents.google.com/patent/DE102017007180A1/de,
