company,cpc,country
Intel,0.16049615477245208,0.3274374664117495
Robert Bosch GmbH,0.21683902440985348,0.33678976332610966
Apple,0.3028275132406068,0.4817683999401142
LG Electronics,0.2885417989548925,0.5027454114343671
Hyundai Mobis,0.3028275132406068,0.5039286433478221
Vega Grieshaber KG,0.309970370383464,0.5084925378711487
Hewlett Packard Enterprise Development LP,0.3765052534519681,0.5792967148641193
TSMC,0.3765052534519681,0.5586593062956762
Toyota Motor,0.38543382488053957,0.5218254504963031
Hyundai Motor Co,0.48471836479221536,0.6843489066641366
Kia,0.48471836479221536,0.6843489066641366
Siemens AG,0.5085278886017391,0.6903833894227572
Suzhou_JZ,0.6446732658667845,0.863885088526883
Suzhou_JZ_net,0.6446732658667845,0.863885088526883
