company,cpc,country
Qualcomm,0.042257142128881736,0.1812053092736444
Ericsson,0.048275986113298044,0.19920807093079484
Intel,0.0711309410060329,0.27868412554391275
IBM,0.10129795032166977,0.3373493892693237
Cisco Systems,0.2009602450509021,0.4722498916960007
Microsoft,0.2561671220316388,0.47066114112958113
LG Electronics,0.23957817648731028,0.48573358983263615
NTT Docomo,0.2730976121998179,0.3989106804940413
Nokia,0.3933099201983774,0.5579171077073974
NEC,0.39793677121580967,0.5248542113822371
Amazon Technologies,0.41471233206564023,0.6633734762549912
Apple,0.4479658932636279,0.6956254018973328
Sony,0.4601001179170082,0.6138523717074729
Sharp,0.44230597176465314,0.5543822888423162
