company,cpc,country
Qualcomm,0.2580819201646277,0.16453639078950702
Huawei Technologies,0.21785806373162958,0.2237730908572123
Xian_Iraine,0.04260269100748628,0.2968395821179294
NTT Docomo,0.3225150468367844,0.1975627738433588
Shanghai_Langbo,0.29039093577039515,0.30282324650243814
China_Mobile,0.21685847643221343,0.34583252762522415
NTT Korea,0.4127195354020453,0.288200541524559
Ericsson,0.37900721717950125,0.26620692017656633
Oppo,0.43091125669120267,0.3114228971185947
Apple,0.3989794958159747,0.376877222411653
Intel,0.35911505731911497,0.4168398297017178
ZTE,0.5080645705062609,0.4647087726521262
LG Electronics,0.5398655149287952,0.44461630789877826
CUG,0.30540110240463664,0.570653735463025
