company,cpc,country
Intel,0.39517407520145437,0.5688248688522479
Intel_IP,0.2571261354582211,0.4600168917607421
Apple,0.1818451911631824,0.37288160572900875
Robert Bosch GmbH,0.11049530536558791,0.2532287623847592
Sony,0.08000000000000002,0.17086834733893558
Siemens AG,0.004481374004380561,0.24257661209961864
Fraunhofer Gesellschaft zur Forderung der Angewandten Forschung eV,0.004481374004380561,0.10615447567748224
Innogy Innovation GmbH,0.023484853610632194,0.21396104408682265
Osram GmbH,0.023484853610632194,0.26158009170587027
Messer Group GmbH,0.09015152027729886,0.1306277107534893
Analog Devices,0.09015152027729886,0.26158009170587027
Giesecke and Devrient Mobile Security GmbH,0.09015152027729886,0.26158009170587027
Fujitsu,0.09015152027729886,0.16634199646777503
Fisher Rosemount Systems,0.15681818694396552,0.15681818694396552
