company,cpc,country
Qualcomm,0.0688321089031024,0.17590273196548528
Ericsson,0.05859574761464874,0.20009408908744075
Intel,0.07221142797596472,0.2683431698707827
IBM,0.07894597491638723,0.35475145957312415
Cisco Systems,0.15272789823255759,0.42177883594291166
Microsoft,0.19822803340078246,0.4128012875010356
Apple,0.25007637303066355,0.4312414157338138
Nokia,0.2557608749281392,0.4123377440279489
LG Electronics,0.29291173048932556,0.47854109426325575
Sony,0.319085421677487,0.45655592315277177
Verizon Communications,0.41059053040482285,0.7248560214235741
NEC,0.4220037449917917,0.5536647746798788
Amazon Technologies,0.4151718678875599,0.7119828496699104
AT&T,0.4239993935312526,0.7279271695619813
