company,2017_competitor,2017_forb
Qualcomm,1,1
Ericsson,1,2
Intel,1,1
IBM,1,2
Cisco Systems,3,2
Microsoft,3,2
LG Electronics,4,3
NTT Docomo,2,4
Nokia,4,2
NEC,4,2
Amazon Technologies,4,4
Apple,4,2
Sony,4,3
Sharp,4,3
