company,2010_competitor,2010_forb
Xerox,3,3
Fujifilm Holdings,1,3
Nokia Solutions and Networks Oy,2,4
Intel,1,1
Qualcomm,2,3
SAP SE,2,4
"United States, AS REPRENSENTED BY SECRETARY OF AIR FORCE",3,4
US Air Force,3,4
T Mobile USA,2,4
Alcatel Lucent SAS,2,4
BlackBerry,2,4
Hitachi High Tech,1,4
Calabazas Creek Res Center,3,4
CALABAZAS CREEK RESEARCH,3,4
