company,2016_competitor,2016_forb
ZTE,4,2
Huawei Technologies,2,4
Anhui Sharetronic Iot Technology,3,4
Xian Irain IoT Technology Service,3,4
Shanghai Langbo Communication Technology,4,4
Nanjing IoT Sensor Technology,3,4
SUZHOU XUANHE IOT TECHNOLOGY,3,4
Jiangsu IoT Research and Development Center,3,4
China Mobile,2,3
Shenzhen JBT Smart Lighting,1,4
Chengdu Qinchuan IoT Technology,1,4
Shenzhen Mayixiongbing Iot Technology,1,4
SHENZHEN QIANHAI LINGJU INTERNET OF THINGS SCIENCE & TECHNOLOGY,1,4
Shenzhen Qianhai Livall IoT Technology,1,4
