company,2018_competitor,2018_forb
Qualcomm,2,1
Huawei Technologies,2,4
Xian Irain IoT Technology Service,1,4
NTT Docomo,2,4
Shanghai Langbo Communication Technology,2,4
China Mobile,2,3
NTT Korea,2,4
Ericsson,2,2
Guangdong Oppo Mobile Telecommunications,2,4
Apple,4,2
Intel,3,1
ZTE,4,2
LG Electronics,4,3
China University of Geosciences,3,4
