company,2016_competitor,2016_forb
Intel,1,1
Qualcomm,1,1
Ericsson,1,2
LG Electronics,1,3
IBM,1,2
Cisco Systems,1,2
Microsoft,4,2
Sony,4,3
NEC,4,2
Electronics and Telecommunications Research Institute ETRI,4,4
NTT Docomo,4,4
Convida Wireless LLC,4,4
Amazon Technologies,4,4
Nokia,4,2
