company,2016_competitor,2016_forb
Deutsche Telekom,2,3
Intel,4,1
BMW Group,2,3
Intel IP,4,4
Robert Bosch GmbH,3,4
Siemens AG,2,4
BSH Hausgeraete GmbH,1,4
Bundesdruckerei GmbH,1,4
Grois Dan,3,4
Apple,4,2
Sony,4,3
Giesecke and Devrient Mobile Security GmbH,4,4
Forschungszentrum Juelich GmbH,3,4
Fujitsu,4,2
