company,2019_competitor,2019_forb
Qualcomm,1,1
LG Electronics,1,3
IBM,1,2
Ericsson,2,2
Intel,1,1
Cisco Systems,2,2
Microsoft,1,2
Apple,4,2
AT&T,4,3
Micron Technology,3,1
Huawei Technologies,2,4
Sony,4,3
Verizon Communications,4,3
Nokia,4,2
