company,2015_competitor,2015_forb
Robert Bosch GmbH,1,4
Deutsche Telekom,2,3
Apple,2,2
Siemens AG,1,4
Preventionpartners Inst fur Pravention und Betr Gesundheitsmanagement GmbH,3,4
Trusted Solutions,3,4
Tridonic GmbH and Co KG,1,4
Shenzhen Qianhai Livall IoT Technology,3,4
SCM Group SpA,1,4
Preventionpartners Institut fur Pravention und Betriebliches Gesundheitsmanagement GmbH,3,4
Phoenix Group Holdings,3,3
Audi AG,3,4
Kettenbach GmbH and Co KG,1,4
Intel IP,3,4
