company,2020_competitor
Huawei Technologies,4
Apple,2
Shanghai_Langbo,2
Intel,1
China_Unicom,4
China_Mobile,3
SGCC,3
LG Electronics,2
Beijing_Sankuai,3
Tencent Technology Shenzhen,3
China_Mobile_IoT,3
Ericsson,2
Alipay Hangzhou Information Technology,4
Xiaomi,4
