company,2015_competitor,2015_forb
Intel,1,1
Ericsson,1,2
Qualcomm,1,1
Cisco Systems,4,2
Afero,4,4
IBM,3,2
Microsoft,3,2
Convida Wireless LLC,4,4
Apple,4,2
Nokia Solutions and Networks Oy,4,4
Verizon Communications,4,3
Electronics and Telecommunications Research Institute ETRI,4,4
LG Electronics,4,3
Nokia,4,2
