company,2013_competitor,2013_forb
Cisco Systems,4,3
LG Electronics,2,3
Qualcomm,2,1
Ericsson,2,3
IoT Holdings,2,4
ZTE,2,3
Xerox,1,3
Electronics and Telecommunications Research Institute ETRI,1,4
Intel,2,1
Intel Deutschland GmbH,2,4
NTT Docomo,2,4
Alcatel Lucent SAS,2,4
Nokia,2,3
Huawei Technologies,2,4
