company,2012_competitor,2012_forb
Cisco Systems,4,3
Xerox,3,3
Qualcomm,2,3
Electronics and Telecommunications Research Institute ETRI,2,4
FutureWei Technologies,2,4
Nokia Solutions and Networks Oy,2,4
LG Electronics,2,3
IBM,1,3
Roamware,2,4
WSOU Investments LLC,2,4
KT,2,3
Alcatel Lucent SAS,2,4
Fujifilm Holdings,1,3
INTERNATIONAL MOBILE IOT CORP,1,4
