company,2011_competitor_lda,2011_forb
Qualcomm,1,3
Xerox,3,3
LG Electronics,2,3
IoT Holdings,1,4
Ericsson,1,3
Fujifilm Holdings,1,3
ZTE,1,3
Cisco Systems,1,3
Apple,1,3
IBM,2,3
Electronics and Telecommunications Research Institute ETRI,4,4
US Department of Navy,4,4
WSOU Investments LLC,4,4
Longitude Semiconductor SARL,4,4
