company,2020_competitor_lda,2020_forb
Huawei Technologies,4,4
Apple,2,2
Shanghai Langbo Communication Technology,1,4
Intel,1,1
China United Network Communications Group,4,4
China Mobile,3,3
State Grid of China SGCC,3,4
LG Electronics,2,3
Beijing Sankuai Online Technology,3,4
Tencent Holdings,3,2
China Mobile IoT,3,4
Ericsson,2,2
Alibaba Group,3,3
Xiaomi,4,3
