company,2014_competitor_lda,2014_forb
Cisco Systems,4,2
Intel,2,1
Qualcomm,1,1
Ericsson,1,2
Convida Wireless LLC,1,4
LG Electronics,1,3
Nokia,1,2
Belkin International,3,4
Microsoft,1,2
Electronics and Telecommunications Research Institute ETRI,3,4
Nokia Solutions and Networks Oy,1,4
Alcatel Lucent SAS,2,4
IoT Holdings,2,4
Amazon.com,4,3
