company,2012_competitor_lda,2012_forb
Cisco Systems,4,3
Xerox,3,3
Qualcomm,1,3
Electronics and Telecommunications Research Institute ETRI,1,4
FutureWei Technologies,1,4
Nokia Solutions and Networks Oy,1,4
LG Electronics,1,3
IBM,1,3
Roamware,1,4
WSOU Investments LLC,1,4
KT,1,3
Alcatel Lucent SAS,1,4
Fujifilm Holdings,1,3
INTERNATIONAL MOBILE IOT CORP,1,4
