company,2013_competitor_lda,2013_forb
Cisco Systems,4,3
LG Electronics,2,3
Qualcomm,1,1
Ericsson,1,3
IoT Holdings,1,4
ZTE,2,3
Xerox,1,3
Electronics and Telecommunications Research Institute ETRI,1,4
Intel,1,1
Intel Deutschland GmbH,1,4
NTT Docomo,1,4
Alcatel Lucent SAS,1,4
Nokia,2,3
Huawei Technologies,1,4
