company,2016_competitor_lda,2016_forb
Deutsche Telekom,1,3
Intel,3,1
BMW Group,1,3
Intel IP,3,4
Robert Bosch GmbH,3,4
Siemens AG,1,4
BSH Hausgeraete GmbH,1,4
Bundesdruckerei GmbH,1,4
Grois Dan,3,4
Apple,3,2
Sony,3,3
Giesecke and Devrient Mobile Security GmbH,4,4
Forschungszentrum Juelich GmbH,4,4
Fujitsu,4,2
