company,2010_competitor_lda,2010_forb
Xerox,4,3
Fujifilm Holdings,1,3
Nokia Solutions and Networks Oy,1,4
Intel,1,1
Qualcomm,1,3
SAP SE,1,4
"United States, AS REPRENSENTED BY SECRETARY OF AIR FORCE",3,4
US Air Force,3,4
T Mobile USA,1,4
Alcatel Lucent SAS,1,4
BlackBerry,1,4
Hitachi High Tech,1,4
Calabazas Creek Res Center,3,4
CALABAZAS CREEK RESEARCH,3,4
