company,2019_competitor_lda,2019_forb
Huawei Technologies,4,4
Shanghai Langbo Communication Technology,2,4
NTT Docomo,2,4
China Mobile,3,3
Guangdong Oppo Mobile Telecommunications,2,4
China Mobile IoT,3,4
Neusoft,3,4
Ericsson,2,2
Alibaba Group Holding,3,4
China United Network Communications Group,3,4
Shanghai Roye Electric Science and Technology,3,4
Xian Irain IoT Technology Service,4,4
Apple,4,2
State Grid of China SGCC,3,4
