company,2016_competitor
Intel,1
Qualcomm,1
Ericsson,1
LG Electronics,1
IBM,1
Cisco Systems,1
Microsoft,4
Sony,4
NEC,4
Electronics and Telecommunications Research Institute ETRI,4
NTT Docomo,4
Convida Wireless LLC,4
Amazon Technologies,4
Nokia,4
