company,2015_competitor
Intel,1
Ericsson,1
Qualcomm,1
Cisco Systems,3
Afero,3
IBM,3
Microsoft,4
Convida Wireless LLC,4
Apple,4
Nokia,4
Verizon Communications,4
Electronics and Telecommunications Research Institute ETRI,4
LG Electronics,4
Nokia,4
