company,2019_competitor
Qualcomm,1
LG Electronics,1
IBM,1
Ericsson,1
Intel,1
Cisco Systems,1
Microsoft,1
Apple,3
AT&T,3
Micron Technology,3
Huawei Technologies,2
Sony,4
Verizon Communications,4
Nokia,4
