company,2018_competitor
Qualcomm,1
Ericsson,1
Intel,1
IBM,1
Cisco Systems,1
Microsoft,1
Apple,2
Nokia,2
LG Electronics,4
Sony,4
Verizon Communications,4
NEC,4
Amazon Technologies,4
AT&T,4
