company,2017_competitor
Qualcomm,1
Ericsson,1
Intel,1
IBM,1
Cisco Systems,3
Microsoft,4
LG Electronics,3
NTT Docomo,2
Nokia,4
NEC,4
Amazon Technologies,4
Apple,4
Sony,4
Sharp,4
