company,2020_competitor
Qualcomm,1
Intel,1
LG Electronics,1
IBM,1
Huawei Technologies,1
Micron Technology,1
AT&T,1
Cisco Systems,1
Verizon Communications,3
Microsoft,3
T_Mobile_USA,4
Shanghai_Langbo,4
Nokia,4
EMC,4
