company,cpc,country
Qualcomm,0.6758039261163332,0.16453639078950702
Huawei Technologies,0.6787363060207474,0.2237730908572123
Xian_Iraine,0.14178033416654737,0.2968395821179294
NTT Docomo,0.7482722067624116,0.1975627738433588
Shanghai_Langbo,0.7696518891073841,0.30282324650243814
China_Mobile,0.6735213249498548,0.34583252762522415
NTT Korea,0.8365704159934276,0.288200541524559
Ericsson,0.8130878362386339,0.26620692017656633
Oppo,0.8698046339483668,0.3114228971185947
Apple,0.8704401398505789,0.376877222411653
Intel,0.5231400086897777,0.4168398297017178
ZTE,0.9099988743056224,0.4647087726521262
LG Electronics,0.9740252247916902,0.44461630789877826
CUG,0.3996775354825036,0.570653735463025
