company,cpc,country
Intel,0.2631447483451979,0.19603155629930674
LG Electronics,0.17507260913949263,0.21583546859038907
Sony,0.17550614941519033,0.1894192059554775
Siemens AG,0.17855531373629824,0.19222121236791065
Fraunhofer Gesellschaft zur Forderung der Angewandten Forschung eV,0.1925696363220762,0.24738695059255078
NEC,0.21473447726428746,0.1903155659570292
Sony_Group,0.13675128398697656,0.2100559766505588
Sony_Semiconductor,0.2909511145341345,0.24131668523182684
Siemens_Energy,0.2722283476496029,0.2509475038514095
Hyundai Motor Co,0.2868115079737335,0.3391709922206283
Siemens_Mobility,0.31556339334326594,0.3218285398513073
Kia,0.2868115079737335,0.3391709922206283
Robert Bosch GmbH,0.2050241776569914,0.3261980779287106
BMW,0.387153591651477,0.40584958440563235
