company,2020_competitor_lda,2020_forb
Qualcomm,1,1
Intel,1,1
LG Electronics,1,3
IBM,1,2
Huawei Technologies,1,4
Micron Technology,1,1
AT&T,1,3
Cisco Systems,1,2
Verizon Communications,3,3
Microsoft,3,2
T Mobile USA,4,4
Shanghai Langbo Communication Technology,4,4
Nokia,4,2
EMC,4,4
